Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 7443, 00:00:07.443,gnbL_BTN_magma,1108,667
1, 9832, 00:00:09.832,magma_TAB_extream,1482,177
2, 17116, 00:00:17.116,magma_EXTREAM_BTN_Track Race,2014,502
3, 21901, 00:00:21.901,magma_AREA,1774,331
4, 22883, 00:00:22.883,magma_AREA,1386,433
5, 25749, 00:00:25.749,magma_AREA,1892,730
6, 26076, 00:00:26.076,magma_PAGE_SWIPE_up,1918,334
7, 27362, 00:00:27.362,magma_TAB_spirit,1318,166
8, 27867, 00:00:27.867,magma_TAB_extream,1444,174
9, 31289, 00:00:31.289,magma_EXTREAM_BTN_Settings,1542,732
10, 32790, 00:00:32.790,magma_BTN_back,1268,172
11, 33588, 00:00:33.588,HWK_magma,1268,172
12, 34354, 00:00:34.354,HWK_magma,1268,172
13, 35836, 00:00:35.836,magma_TAB_extream,1476,177
14, 40275, 00:00:40.275,magma_EXTREAM_BTN_Settings,1539,730
15, 41362, 00:00:41.362,magma_SETTINGS_BTN_Motor,1695,387
16, 41534, 00:00:41.534,magma_SETTINGS_BTN_Motor,1701,372
17, 41677, 00:00:41.677,magma_SETTINGS_BTN_Motor,1701,367
18, 42643, 00:00:42.643,magma_SETTINGS_BTN_Esc,1911,375
19, 42796, 00:00:42.796,magma_SETTINGS_BTN_Esc,1904,376
20, 43542, 00:00:43.542,magma_SETTINGS_BTN_Suspension,1898,489
21, 43836, 00:00:43.836,magma_SETTINGS_BTN_Suspension,1904,484
22, 45332, 00:00:45.332,magma_SETTINGS_BTN_Hud,1701,637
23, 45504, 00:00:45.504,magma_SETTINGS_BTN_Hud,1696,618
24, 45896, 00:00:45.896,magma_SETTINGS_BTN_E-lsd,1898,598
25, 46036, 00:00:46.036,magma_SETTINGS_BTN_E-lsd,1905,595
26, 46917, 00:00:46.917,magma_BTN_back,1296,159
27, 50526, 00:00:50.526,magma_EXTREAM_BTN_Battery Conditioning,1428,489
28, 52158, 00:00:52.158,magma_EXTREAM_BTN_Battery Conditioning,1491,505
29, 54141, 00:00:54.141,magma_EXTREAM_BTN_Records,1356,738
30, 57122, 00:00:57.122,magma_EXTREAM_BTN_ASD+,1356,403
31, 58904, 00:00:58.904,magma_EXTREAM_BTN_Track Race,2020,457
32, 60241, 00:01:00.241,magma_EXTREAM_TRACK_BTN_Start,1641,678
33, 70470, 00:01:10.470,magma_AREA,2108,481
34, 70613, 00:01:10.613,magma_PAGE_SWIPE_down,2078,805
35, 71087, 00:01:11.087,magma_AREA,2148,511
36, 71211, 00:01:11.211,magma_PAGE_SWIPE_down,2151,748
37, 71719, 00:01:11.719,magma_AREA,2182,513
38, 71893, 00:01:11.893,magma_PAGE_SWIPE_down,2192,768
39, 72384, 00:01:12.384,magma_AREA,2182,514
40, 72528, 00:01:12.528,magma_PAGE_SWIPE_down,2170,781
41, 73067, 00:01:13.067,magma_AREA,2169,469
42, 73210, 00:01:13.210,magma_PAGE_SWIPE_down,2190,691
43, 73615, 00:01:13.615,magma_AREA,2241,679
44, 73775, 00:01:13.775,magma_PAGE_SWIPE_up,2073,232
