Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 3702, 00:00:03.702,magma_AREA,2052,339
1, 4884, 00:00:04.884,magma_PAGE_SWIPE_down,2058,778
2, 8084, 00:00:08.084,magma_AREA,2226,282
3, 9183, 00:00:09.183,magma_PAGE_SWIPE_down,2218,804
4, 10354, 00:00:10.354,magma_AREA,2415,762
5, 11234, 00:00:11.234,magma_PAGE_SWIPE_up,2432,243
6, 12233, 00:00:12.233,magma_AREA,2643,727
7, 13083, 00:00:13.083,magma_PAGE_SWIPE_up,2630,271
8, 15100, 00:00:15.100,magma_AREA,1746,709
9, 18137, 00:00:18.137,magma_AREA,1220,733
10, 26551, 00:00:26.551,magma_AREA,1636,79
11, 28651, 00:00:28.651,magma_AREA,1978,352
