Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1866, 00:00:01.866,magma_AREA,2066,439
1, 2092, 00:00:02.092,magma_PAGE_SWIPE_down,2026,760
2, 2465, 00:00:02.465,magma_AREA,2094,477
3, 2576, 00:00:02.576,magma_PAGE_SWIPE_down,2100,619
4, 2849, 00:00:02.849,magma_AREA,2130,484
5, 3451, 00:00:03.451,magma_AREA,2182,534
6, 3576, 00:00:03.576,magma_PAGE_SWIPE_down,2164,751
7, 4016, 00:00:04.016,magma_AREA,2133,493
8, 4175, 00:00:04.175,magma_PAGE_SWIPE_down,2121,691
9, 4847, 00:00:04.847,magma_AREA,2072,472
10, 4958, 00:00:04.958,magma_PAGE_SWIPE_down,2062,640
11, 6891, 00:00:06.891,magma_EXTREAM_TRACK_BTN_Stop,1338,735
12, 10412, 00:00:10.412,magma_AREA,2160,634
13, 10553, 00:00:10.553,magma_PAGE_SWIPE_up,2127,498
14, 10861, 00:00:10.861,magma_AREA,2212,675
15, 10987, 00:00:10.987,magma_PAGE_SWIPE_up,2122,526
16, 11227, 00:00:11.227,magma_AREA,2240,687
17, 11319, 00:00:11.319,magma_PAGE_SWIPE_up,2158,567
18, 11691, 00:00:11.691,magma_AREA,2277,721
19, 11786, 00:00:11.786,magma_PAGE_SWIPE_up,2230,634
20, 12341, 00:00:12.341,magma_AREA,2176,817
21, 12470, 00:00:12.470,magma_PAGE_SWIPE_up,2103,616
22, 13702, 00:00:13.702,magma_TAB_extream,1400,171
23, 16933, 00:00:16.933,magma_EXTREAM_BTN_Records,1329,765
