Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 3912, 00:00:03.912,gnbL_BTN_magma,1110,640
1, 5313, 00:00:05.313,magma_TAB_extream,1416,162
2, 6582, 00:00:06.582,magma_EXTREAM_BTN_Drag Race,1870,727
3, 8731, 00:00:08.731,magma_TAB_extream,1434,183
4, 10295, 00:00:10.295,magma_EXTREAM_BTN_Battery Conditioning,1532,486
5, 11695, 00:00:11.695,magma_EXTREAM_BTN_Drag Race,2030,709
6, 14803, 00:00:14.803,magma_EXTREAM_DRAG_BTN_Start,1630,721
7, 16409, 00:00:16.409,magma_TAB_extream,1382,198
8, 19396, 00:00:19.396,HWK_magma,1382,198
9, 21930, 00:00:21.930,magma_EXTREAM_BTN_Launch Control,1390,633
10, 23410, 00:00:23.410,magma_EXTREAM_BTN_Drag Race,1860,652
11, 25459, 00:00:25.459,HWK_magma,1860,652
