Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 11026, 00:00:11.026,gnbL_BTN_magma,1086,675
1, 14130, 00:00:14.130,HWK_magma,1086,675
2, 16877, 00:00:16.877,magma_SPIRIT_BTN_Launch Control,1438,610
3, 21788, 00:00:21.788,HWK_magma,1438,610
4, 23174, 00:00:23.174,magma_SPIRIT_BTN_Launch Control,1434,639
5, 23758, 00:00:23.758,magma_SPIRIT_BTN_Launch Control,1460,661
6, 24529, 00:00:24.529,magma_AREA,1774,630
7, 25049, 00:00:25.049,POPUP_MAGMA,2028,747
8, 27251, 00:00:27.251,magma_TAB_extream,1422,169
9, 28947, 00:00:28.947,magma_EXTREAM_BTN_Battery Conditioning,1476,490
10, 31420, 00:00:31.420,magma_EXTREAM_BTN_Launch Control,1434,603
