Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 6464, 00:00:06.464,gnbL_BTN_apps,1107,759
1, 9511, 00:00:09.511,gnbL_AREA,1053,576
2, 10244, 00:00:10.244,gnbL_AREA,1098,592
3, 14277, 00:00:14.277,gnbL_BTN_apps,1092,789
4, 15306, 00:00:15.306,gnbL_BTN_magma,1086,688
5, 20103, 00:00:20.103,gnbL_BTN_apps,1089,805
6, 25917, 00:00:25.917,apps_AREA,1960,546
7, 26769, 00:00:26.769,apps_AREA,2176,598
8, 27011, 00:00:27.011,magma_PAGE_SWIPE_down,1398,688
9, 27515, 00:00:27.515,apps_AREA,1688,484
10, 28166, 00:00:28.166,apps_AREA,1942,642
11, 28342, 00:00:28.342,magma_PAGE_SWIPE_up,1888,238
12, 33821, 00:00:33.821,magma_SPIRIT_BTN_Active Sound Design,1515,430
13, 39403, 00:00:39.403,gnbL_BTN_apps,1095,789
14, 48495, 00:00:48.495,gnbL_BTN_magma,1122,669
15, 52725, 00:00:52.725,navi_AREA,1612,408
16, 53526, 00:00:53.526,navi_AREA,1719,757
17, 54390, 00:00:54.390,gnbL_AREA,1110,576
18, 55173, 00:00:55.173,gnbL_BTN_navi,1107,447
