Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
1, 381594, 00:06:21.594,RESET
2, 381835, 00:06:21.835,RESET
3, 384330, 00:06:24.330,Admin Launch Control Off
4, 385541, 00:06:25.541,RESET
5, 386673, 00:06:26.673,HWK_magma,1620,709
6, 387722, 00:06:27.722,HWK_magma,1620,709
7, 389410, 00:06:29.410,POPUP_MAGMA,2043,751
8, 390363, 00:06:30.363,magma_TAB_extream,1425,147
9, 391466, 00:06:31.466,magma_EXTREAM_BTN_Drag Race,2006,655
10, 396590, 00:06:36.590,magma_EXTREAM_DRAG_BTN_Start,1630,730
11, 431036, 00:07:11.036,magma_EXTREAM_DRAG_BTN_Stop,1377,699
12, 432154, 00:07:12.154,RESET
13, 435149, 00:07:15.149,HWK_magma,1377,699
14, 436253, 00:07:16.253,POPUP_MAGMA,1710,742
15, 438106, 00:07:18.106,magma_TAB_extream,1464,160
16, 438661, 00:07:18.661,magma_EXTREAM_BTN_Drag Race,1886,664
17, 440380, 00:07:20.380,magma_EXTREAM_DRAG_BTN_Start,1587,714
