Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 3536, 00:00:03.536,magma_AREA,2169,445
1, 4532, 00:00:04.532,gnbL_BTN_magma,1095,655
2, 5699, 00:00:05.699,gnbL_BTN_magma,1118,672
3, 6944, 00:00:06.944,magma_TAB_extream,1443,156
4, 8659, 00:00:08.659,magma_EXTREAM_BTN_Track Race,1832,438
5, 9783, 00:00:09.783,magma_AREA,2060,424
6, 16863, 00:00:16.863,magma_AREA,2109,511
7, 17019, 00:00:17.019,magma_PAGE_SWIPE_down,2186,864
8, 17724, 00:00:17.724,magma_AREA,2145,472
9, 17868, 00:00:17.868,magma_PAGE_SWIPE_down,2204,769
10, 18840, 00:00:18.840,magma_AREA,2098,454
11, 19018, 00:00:19.018,magma_PAGE_SWIPE_down,2187,873
12, 24968, 00:00:24.968,magma_AREA,2144,420
13, 25163, 00:00:25.163,magma_PAGE_SWIPE_down,2229,856
14, 26000, 00:00:26.000,magma_AREA,2085,349
15, 26211, 00:00:26.211,magma_PAGE_SWIPE_down,2128,904
16, 30612, 00:00:30.612,magma_AREA,2054,738
17, 31191, 00:00:31.191,magma_PAGE_SWIPE_up,1989,388
18, 31878, 00:00:31.878,magma_AREA,2118,720
19, 32107, 00:00:32.107,magma_PAGE_SWIPE_up,2088,504
20, 32677, 00:00:32.677,magma_AREA,2124,754
21, 32874, 00:00:32.874,magma_PAGE_SWIPE_up,2094,516
22, 33360, 00:00:33.360,magma_AREA,2106,723
23, 33522, 00:00:33.522,magma_PAGE_SWIPE_up,2061,520
24, 34444, 00:00:34.444,magma_AREA,2092,763
25, 34621, 00:00:34.621,magma_PAGE_SWIPE_up,2058,526
26, 35958, 00:00:35.958,magma_AREA,2031,604
27, 36757, 00:00:36.757,magma_AREA,2220,549
28, 37224, 00:00:37.224,magma_AREA,2103,459
29, 37452, 00:00:37.452,magma_PAGE_SWIPE_up,2601,373
30, 37659, 00:00:37.659,magma_AREA,2625,567
31, 39521, 00:00:39.521,magma_AREA,1365,291
32, 40304, 00:00:40.304,magma_AREA,1342,259
33, 40855, 00:00:40.855,magma_AREA,1352,271
34, 41466, 00:00:41.466,magma_TAB_extream,1458,177
35, 48827, 00:00:48.827,magma_TAB_spirit,1278,178
36, 49525, 00:00:49.525,magma_TAB_extream,1442,171
37, 53039, 00:00:53.039,magma_EXTREAM_BTN_Track Race,1838,463
38, 55425, 00:00:55.425,magma_AREA,2038,553
39, 61602, 00:01:01.602,magma_AREA,1350,274
