Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1925, 00:00:01.925,magma_AREA,2118,453
1, 2605, 00:00:02.605,magma_AREA,2132,535
2, 3899, 00:00:03.899,magma_AREA,2092,538
3, 4060, 00:00:04.060,magma_PAGE_SWIPE_down,2112,727
4, 4805, 00:00:04.805,magma_AREA,2091,592
5, 4920, 00:00:04.920,magma_PAGE_SWIPE_down,2096,802
6, 5638, 00:00:05.638,magma_AREA,2121,609
7, 5725, 00:00:05.725,magma_PAGE_SWIPE_up,2102,523
8, 8427, 00:00:08.427,magma_AREA,2126,654
9, 8595, 00:00:08.595,magma_PAGE_SWIPE_up,2088,493
10, 9696, 00:00:09.696,magma_AREA,2115,661
11, 9887, 00:00:09.887,magma_PAGE_SWIPE_up,2082,550
12, 11059, 00:00:11.059,magma_AREA,2091,664
13, 11202, 00:00:11.202,magma_PAGE_SWIPE_up,2058,540
14, 11929, 00:00:11.929,magma_AREA,2056,562
15, 12046, 00:00:12.046,magma_PAGE_SWIPE_down,2072,670
16, 12281, 00:00:12.281,magma_AREA,2042,586
17, 12421, 00:00:12.421,magma_PAGE_SWIPE_down,2061,687
18, 14215, 00:00:14.215,magma_AREA,1688,468
19, 16616, 00:00:16.616,magma_AREA,2096,597
20, 16776, 00:00:16.776,magma_PAGE_SWIPE_up,2072,489
21, 17361, 00:00:17.361,magma_AREA,2046,543
22, 17473, 00:00:17.473,magma_PAGE_SWIPE_down,2056,619
23, 24884, 00:00:24.884,magma_EXTREAM_TRACK_BTN_Stop,1316,738
24, 26835, 00:00:26.835,magma_AREA,2085,525
25, 27000, 00:00:27.000,magma_PAGE_SWIPE_down,2098,727
26, 27870, 00:00:27.870,magma_AREA,2068,592
27, 28006, 00:00:28.006,magma_PAGE_SWIPE_down,2098,742
28, 28879, 00:00:28.879,magma_AREA,2056,604
29, 28991, 00:00:28.991,magma_PAGE_SWIPE_down,2062,715
30, 29519, 00:00:29.519,magma_AREA,2031,588
31, 29632, 00:00:29.632,magma_PAGE_SWIPE_down,2046,759
32, 32330, 00:00:32.330,magma_TAB_extream,1436,181
33, 36184, 00:00:36.184,magma_EXTREAM_BTN_Records,1335,732
34, 37969, 00:00:37.969,magma_EXTREAM_BTN_Records,1328,744
35, 38954, 00:00:38.954,magma_EXTREAM_BTN_Records,1347,726
