Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1021, 00:00:01.021,magma_AREA,2070,496
1, 1142, 00:00:01.142,magma_PAGE_SWIPE_down,2072,655
2, 2071, 00:00:02.071,magma_AREA,2091,471
3, 2279, 00:00:02.279,magma_PAGE_SWIPE_down,2103,688
4, 3169, 00:00:03.169,magma_AREA,2109,522
5, 3347, 00:00:03.347,magma_PAGE_SWIPE_down,2126,736
6, 4004, 00:00:04.004,magma_AREA,2136,457
7, 4217, 00:00:04.217,magma_PAGE_SWIPE_down,2162,712
8, 5085, 00:00:05.085,magma_AREA,2139,471
9, 5277, 00:00:05.277,magma_PAGE_SWIPE_down,2162,732
10, 5935, 00:00:05.935,magma_AREA,2112,577
11, 6866, 00:00:06.866,magma_AREA,2115,532
12, 7042, 00:00:07.042,magma_AREA,2118,529
13, 7254, 00:00:07.254,magma_AREA,2144,417
14, 7602, 00:00:07.602,magma_AREA,2128,603
15, 10999, 00:00:10.999,magma_TAB_spirit,1281,154
16, 12147, 00:00:12.147,magma_TAB_extream,1414,168
17, 15196, 00:00:15.196,magma_EXTREAM_BTN_Records,1323,733
18, 16459, 00:00:16.459,magma_EXTREAM_BTN_Records,1294,751
19, 17250, 00:00:17.250,magma_EXTREAM_BTN_Records,1287,739
