Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 13267, 00:00:13.267,magma_SPIRIT_BTN_Settings,1428,765
1, 17014, 00:00:17.014,magma_SETTINGS_BTN_Motor,1708,373
2, 18548, 00:00:18.548,magma_SETTINGS_BTN_Motor,1701,384
3, 19295, 00:00:19.295,magma_SETTINGS_BTN_Motor,1692,364
4, 21134, 00:00:21.134,magma_SETTINGS_BTN_Steering,1712,492
5, 24210, 00:00:24.210,magma_SETTINGS_BTN_Suspension,1918,484
6, 26851, 00:00:26.851,magma_SETTINGS_BTN_Esc,1928,381
7, 29530, 00:00:29.530,magma_SETTINGS_BTN_E-lsd,1930,604
8, 33614, 00:00:33.614,magma_BTN_back,1257,184
9, 41205, 00:00:41.205,magma_TAB_extream,1446,180
10, 44244, 00:00:44.244,magma_EXTREAM_BTN_Track Race,1992,442
11, 92355, 00:01:32.355,gnbL_BTN_magma,1108,669
12, 93780, 00:01:33.780,gnbL_BTN_magma,1155,670
13, 96638, 00:01:36.638,magma_TAB_spirit,1287,154
14, 105547, 00:01:45.547,magma_AREA,2022,703
15, 105671, 00:01:45.671,magma_PAGE_SWIPE_up,2014,630
16, 106550, 00:01:46.550,magma_AREA,1948,526
17, 106691, 00:01:46.691,magma_PAGE_SWIPE_down,2002,652
18, 107240, 00:01:47.240,magma_AREA,1976,540
19, 107400, 00:01:47.400,magma_PAGE_SWIPE_down,1998,624
20, 108258, 00:01:48.258,magma_AREA,1986,535
21, 108405, 00:01:48.405,magma_PAGE_SWIPE_down,2001,630
22, 109051, 00:01:49.051,magma_AREA,1989,528
23, 109217, 00:01:49.217,magma_PAGE_SWIPE_down,2016,664
24, 112172, 00:01:52.172,magma_AREA,2078,663
25, 129072, 00:02:09.072,magma_SPIRIT_BTN_Settings,1442,751
26, 130967, 00:02:10.967,magma_BTN_back,1251,162
27, 134129, 00:02:14.129,magma_AREA,2046,495
28, 134276, 00:02:14.276,magma_PAGE_SWIPE_down,2055,622
29, 135242, 00:02:15.242,magma_AREA,1914,528
30, 135386, 00:02:15.386,magma_PAGE_SWIPE_down,1956,661
31, 137010, 00:02:17.010,magma_AREA,2004,616
32, 137150, 00:02:17.150,magma_PAGE_SWIPE_up,1968,528
33, 137518, 00:02:17.518,magma_AREA,2002,630
34, 137641, 00:02:17.641,magma_PAGE_SWIPE_up,1964,522
35, 138836, 00:02:18.836,magma_AREA,1940,601
36, 139375, 00:02:19.375,magma_AREA,1962,651
37, 139519, 00:02:19.519,magma_PAGE_SWIPE_up,1938,550
38, 140476, 00:02:20.476,magma_AREA,1982,702
39, 140658, 00:02:20.658,magma_PAGE_SWIPE_up,1952,568
40, 142043, 00:02:22.043,magma_AREA,2000,597
41, 142200, 00:02:22.200,magma_PAGE_SWIPE_down,2028,682
42, 146151, 00:02:26.151,magma_AREA,2052,741
43, 146293, 00:02:26.293,magma_PAGE_SWIPE_up,2022,652
44, 147668, 00:02:27.668,magma_AREA,2031,721
45, 147835, 00:02:27.835,magma_PAGE_SWIPE_down,2055,789
46, 149659, 00:02:29.659,magma_AREA,1992,648
47, 149965, 00:02:29.965,magma_AREA,2004,717
48, 151779, 00:02:31.779,magma_TAB_extream,1426,178
49, 157117, 00:02:37.117,magma_EXTREAM_BTN_Settings,1562,720
50, 159180, 00:02:39.180,magma_BTN_back,1254,190
51, 163954, 00:02:43.954,magma_EXTREAM_BTN_Track Race,1851,429
52, 166202, 00:02:46.202,magma_AREA,2048,676
53, 166874, 00:02:46.874,magma_AREA,1968,601
54, 166977, 00:02:46.977,magma_PAGE_SWIPE_down,1986,681
55, 167630, 00:02:47.630,magma_AREA,1956,597
56, 167749, 00:02:47.749,magma_PAGE_SWIPE_down,1986,702
57, 170121, 00:02:50.121,magma_AREA,1960,606
58, 170308, 00:02:50.308,magma_PAGE_SWIPE_down,1986,678
59, 170886, 00:02:50.886,magma_AREA,1995,669
60, 171802, 00:02:51.802,magma_AREA,1995,673
61, 171951, 00:02:51.951,magma_PAGE_SWIPE_up,1940,576
