Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 3831, 00:00:03.831,magma_SPIRIT_BTN_Launch Control,1449,661
1, 9236, 00:00:09.236,magma_SPIRIT_BTN_Launch Control,1418,652
2, 10411, 00:00:10.411,magma_SPIRIT_BTN_Launch Control,1461,652
3, 11079, 00:00:11.079,magma_AREA,2040,718
4, 11700, 00:00:11.700,magma_AREA,1946,528
5, 11781, 00:00:11.781,magma_PAGE_SWIPE_down,1980,595
6, 12998, 00:00:12.998,magma_AREA,1966,520
7, 13112, 00:00:13.112,magma_PAGE_SWIPE_down,1983,604
8, 14636, 00:00:14.636,magma_AREA,1990,615
9, 14786, 00:00:14.786,magma_PAGE_SWIPE_up,1976,553
10, 17929, 00:00:17.929,magma_SPIRIT_BTN_Settings,1460,747
11, 20319, 00:00:20.319,magma_SPIRIT_BTN_Active Sound Design,1410,460
12, 24488, 00:00:24.488,magma_BTN_back,1246,174
13, 29215, 00:00:29.215,gnbL_BTN_apps,1125,763
14, 31175, 00:00:31.175,gnbL_BTN_magma,1125,664
15, 32356, 00:00:32.356,gnbL_BTN_magma,1120,661
16, 36816, 00:00:36.816,magma_TAB_spirit,1292,163
17, 38769, 00:00:38.769,magma_TAB_extream,1464,172
18, 41090, 00:00:41.090,magma_EXTREAM_BTN_Battery Conditioning,1424,490
19, 47610, 00:00:47.610,magma_EXTREAM_BTN_Launch Control,1440,600
