Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 3537, 00:00:03.537,gnbL_BTN_magma,1111,688
1, 4954, 00:00:04.954,gnbL_BTN_navi,1118,454
2, 5863, 00:00:05.863,HWK_magma,1118,454
3, 7606, 00:00:07.606,POPUP_MAGMA,2024,743
4, 13913, 00:00:13.913,gnbL_BTN_magma,1075,677
5, 16855, 00:00:16.855,HWK_magma,1075,677
6, 22052, 00:00:22.052,HWK_magma,1075,677
7, 22485, 00:00:22.485,HWK_magma,1075,677
8, 23284, 00:00:23.284,HWK_magma,1075,677
9, 25083, 00:00:25.083,HWK_magma,1075,677
10, 30112, 00:00:30.112,HWK_drive,1075,677
11, 31395, 00:00:31.395,HWK_drive,1075,677
12, 32162, 00:00:32.162,HWK_drive,1075,677
13, 32994, 00:00:32.994,HWK_drive,1075,677
14, 34749, 00:00:34.749,gnbL_BTN_magma,1106,685
15, 37659, 00:00:37.659,magma_TAB_extream,1454,192
16, 41789, 00:00:41.789,magma_EXTREAM_BTN_Track Race,2002,462
17, 53880, 00:00:53.880,magma_TAB_spirit,1276,189
18, 56445, 00:00:56.445,magma_TAB_extream,1447,165
19, 57168, 00:00:57.168,gnbL_BTN_magma,1091,664
20, 58334, 00:00:58.334,gnbL_BTN_magma,1117,661
21, 61111, 00:01:01.111,magma_EXTREAM_BTN_Settings,1531,739
22, 71057, 00:01:11.057,gnbL_BTN_magma,1102,665
23, 75539, 00:01:15.539,gnbL_BTN_magma,1097,673
24, 77530, 00:01:17.530,HWK_magma,1097,673
25, 79647, 00:01:19.647,POPUP_MAGMA,2008,748
26, 83744, 00:01:23.744,magma_EXTREAM_BTN_ASD+,1352,339
27, 84695, 00:01:24.695,magma_EXTREAM_BTN_ASD+,1342,394
28, 85722, 00:01:25.722,magma_EXTREAM_BTN_Battery Conditioning,1339,489
29, 86655, 00:01:26.655,magma_BTN_back,1274,153
30, 93485, 00:01:33.485,magma_EXTREAM_BTN_Launch Control,1450,617
31, 95533, 00:01:35.533,magma_EXTREAM_BTN_Launch Control,1424,617
