Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 2081, 00:00:02.081,RESET
1, 7643, 00:00:07.643,HWK_magma,1096,667
2, 8842, 00:00:08.842,HWK_magma,1096,667
3, 9542, 00:00:09.542,HWK_magma,1096,667
4, 28409, 00:00:28.409,HWK_magma,1096,667
5, 29458, 00:00:29.458,HWK_magma,1096,667
6, 30140, 00:00:30.140,HWK_magma,1096,667
7, 32926, 00:00:32.926,gnbL_BTN_magma,1099,685
8, 37917, 00:00:37.917,HWK_magma,1100,701
9, 38434, 00:00:38.434,HWK_magma,1100,701
10, 39217, 00:00:39.217,HWK_magma,1100,701
11, 52839, 00:00:52.839,HWK_magma,1100,701
12, 53389, 00:00:53.389,HWK_magma,1100,701
13, 54187, 00:00:54.187,HWK_magma,1100,701
14, 54803, 00:00:54.803,HWK_magma,1100,701
