Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 4996, 00:00:04.996,magma_AREA,1988,674
1, 5278, 00:00:05.278,magma_PAGE_SWIPE_up,2038,409
2, 6510, 00:00:06.510,magma_AREA,1835,718
3, 7743, 00:00:07.743,magma_SPIRIT_BTN_Active Sound Design,1535,439
4, 8449, 00:00:08.449,magma_AREA,1816,358
5, 9281, 00:00:09.281,magma_AREA,1759,637
6, 9798, 00:00:09.798,magma_AREA,2426,661
7, 10425, 00:00:10.425,magma_AREA,2159,475
8, 17285, 00:00:17.285,magma_TAB_extream,1462,172
9, 18666, 00:00:18.666,magma_EXTREAM_BTN_Track Race,2027,445
10, 30389, 00:00:30.389,magma_EXTREAM_TRACK_BTN_Start,1643,724
11, 32937, 00:00:32.937,magma_AREA,2093,736
12, 33070, 00:00:33.070,magma_PAGE_SWIPE_up,2072,463
13, 33854, 00:00:33.854,magma_AREA,2032,399
14, 33986, 00:00:33.986,magma_PAGE_SWIPE_down,2039,586
15, 34008, 00:00:34.008,magma_AREA,2060,733
16, 34571, 00:00:34.571,magma_AREA,2107,403
17, 34753, 00:00:34.753,magma_PAGE_SWIPE_down,2113,697
18, 35203, 00:00:35.203,magma_AREA,2096,415
19, 35451, 00:00:35.451,magma_PAGE_SWIPE_down,2093,781
20, 35993, 00:00:35.993,magma_AREA,2060,399
21, 36318, 00:00:36.318,magma_PAGE_SWIPE_down,2072,800
22, 37383, 00:00:37.383,magma_AREA,2144,576
23, 37600, 00:00:37.600,magma_PAGE_SWIPE_up,2120,316
