Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 15678, 00:00:15.678,magma_SPIRIT_BTN_Launch Control,1504,677
1, 17094, 00:00:17.094,magma_SPIRIT_BTN_Launch Control,1474,664
2, 18109, 00:00:18.109,magma_SPIRIT_BTN_Launch Control,1510,662
3, 18609, 00:00:18.609,magma_SPIRIT_BTN_Settings,1472,773
4, 22789, 00:00:22.789,magma_AREA,1412,483
5, 23771, 00:00:23.771,magma_SPIRIT_BTN_Active Sound Design,1310,472
6, 23878, 00:00:23.878,magma_AREA,1327,492
7, 30648, 00:00:30.648,magma_BTN_back,1271,177
8, 32896, 00:00:32.896,magma_SPIRIT_BTN_Settings,1472,773
9, 35445, 00:00:35.445,magma_BTN_back,1294,156
10, 39125, 00:00:39.125,magma_SPIRIT_BTN_Launch Control,1475,656
11, 39624, 00:00:39.624,magma_SPIRIT_BTN_Launch Control,1471,647
12, 39807, 00:00:39.807,magma_SPIRIT_BTN_Launch Control,1478,652
13, 40157, 00:00:40.157,magma_SPIRIT_BTN_Vitual Gear Shift,1474,547
14, 41006, 00:00:41.006,magma_SPIRIT_BTN_Vitual Gear Shift,1493,543
15, 41656, 00:00:41.656,magma_SPIRIT_BTN_Vitual Gear Shift,1466,543
16, 42605, 00:00:42.605,magma_SPIRIT_BTN_Launch Control,1478,653
17, 43238, 00:00:43.238,magma_SPIRIT_BTN_Vitual Gear Shift,1469,531
18, 43655, 00:00:43.655,magma_SPIRIT_BTN_Launch Control,1483,664
19, 44504, 00:00:44.504,magma_SPIRIT_BTN_Settings,1525,773
20, 52249, 00:00:52.249,magma_AREA,1270,133
21, 52963, 00:00:52.963,magma_BTN_back,1283,175
22, 55112, 00:00:55.112,magma_TAB_extream,1450,174
23, 56343, 00:00:56.343,magma_EXTREAM_BTN_Drag Race,2101,667
24, 57726, 00:00:57.726,magma_TAB_extream,1432,177
25, 62821, 00:01:02.821,magma_TAB_extream,1454,174
26, 63271, 00:01:03.271,magma_TAB_extream,1414,183
27, 63870, 00:01:03.870,magma_EXTREAM_BTN_Track Race,1940,465
28, 68466, 00:01:08.466,magma_TAB_extream,1423,171
29, 70831, 00:01:10.831,magma_TAB_extream,1444,171
30, 71364, 00:01:11.364,magma_EXTREAM_BTN_Track Race,2002,444
31, 73196, 00:01:13.196,magma_AREA,1510,267
32, 73729, 00:01:13.729,magma_TAB_extream,1442,180
33, 75228, 00:01:15.228,magma_EXTREAM_BTN_Drag Race,2002,694
34, 78009, 00:01:18.009,magma_AREA,2135,430
35, 78141, 00:01:18.141,magma_PAGE_SWIPE_down,2139,625
36, 79208, 00:01:19.208,magma_AREA,2148,468
37, 79343, 00:01:19.343,magma_PAGE_SWIPE_down,2162,740
38, 79694, 00:01:19.694,magma_AREA,2144,432
39, 79874, 00:01:19.874,magma_PAGE_SWIPE_down,2126,817
40, 80495, 00:01:20.495,magma_AREA,2208,800
41, 80672, 00:01:20.672,magma_PAGE_SWIPE_up,2138,459
42, 80941, 00:01:20.941,magma_AREA,2192,671
43, 81089, 00:01:21.089,magma_PAGE_SWIPE_up,2160,420
44, 81363, 00:01:21.363,magma_AREA,2261,712
45, 81489, 00:01:21.489,magma_PAGE_SWIPE_up,2238,487
46, 81795, 00:01:21.795,magma_AREA,2289,766
47, 81938, 00:01:21.938,magma_PAGE_SWIPE_up,2225,492
48, 82272, 00:01:22.272,magma_AREA,2256,724
49, 82372, 00:01:22.372,magma_PAGE_SWIPE_up,2235,576
50, 83520, 00:01:23.520,magma_EXTREAM_DRAG_BTN_Start,1645,718
51, 84569, 00:01:24.569,magma_EXTREAM_DRAG_BTN_Stop,1309,724
52, 85152, 00:01:25.152,magma_EXTREAM_DRAG_BTN_Start,1639,754
53, 87051, 00:01:27.051,magma_TAB_extream,1442,187
54, 90232, 00:01:30.232,magma_EXTREAM_BTN_Drag Race,1942,686
55, 91397, 00:01:31.397,magma_TAB_extream,1448,180
56, 93246, 00:01:33.246,magma_EXTREAM_BTN_Settings,1558,742
57, 94512, 00:01:34.512,magma_AREA,1409,96
58, 95210, 00:01:35.210,magma_BTN_back,1295,187
