Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 6511, 00:00:06.511,magma_AREA,2138,423
1, 6706, 00:00:06.706,magma_PAGE_SWIPE_down,2180,746
2, 7480, 00:00:07.480,magma_AREA,2318,606
3, 7672, 00:00:07.672,magma_PAGE_SWIPE_up,2271,418
4, 8195, 00:00:08.195,magma_AREA,2159,459
5, 8370, 00:00:08.370,magma_PAGE_SWIPE_down,2264,683
6, 8674, 00:00:08.674,magma_AREA,2340,664
7, 8853, 00:00:08.853,magma_PAGE_SWIPE_up,2268,439
8, 9375, 00:00:09.375,magma_AREA,2219,424
9, 10009, 00:00:10.009,magma_AREA,2210,531
10, 10343, 00:00:10.343,magma_AREA,2222,620
11, 14714, 00:00:14.714,magma_TAB_spirit,1291,163
12, 15367, 00:00:15.367,magma_TAB_extream,1424,162
13, 18311, 00:00:18.311,magma_EXTREAM_BTN_Records,1346,733
