Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1618, 00:00:01.618,gnbL_BTN_magma,1106,671
1, 5446, 00:00:05.446,magma_TAB_extream,1429,175
2, 10059, 00:00:10.059,magma_EXTREAM_BTN_Launch Control,1435,609
3, 11618, 00:00:11.618,magma_EXTREAM_BTN_Launch Control,1459,626
4, 12231, 00:00:12.231,magma_EXTREAM_BTN_Settings,1555,736
5, 13601, 00:00:13.601,magma_BTN_back,1288,190
6, 16832, 00:00:16.832,magma_EXTREAM_BTN_Track Race,1990,459
7, 21044, 00:00:21.044,magma_TAB_spirit,1265,171
8, 22480, 00:00:22.480,magma_TAB_extream,1436,159
9, 29601, 00:00:29.601,magma_EXTREAM_BTN_ASD+,1318,399
10, 30791, 00:00:30.791,magma_EXTREAM_BTN_ASD+,1339,400
11, 31611, 00:00:31.611,magma_AREA,1360,277
12, 38916, 00:00:38.916,magma_EXTREAM_BTN_Settings,1550,737
13, 40391, 00:00:40.391,magma_BTN_back,1294,183
14, 41825, 00:00:41.825,magma_EXTREAM_BTN_Records,1339,730
15, 43154, 00:00:43.154,magma_EXTREAM_BTN_Launch Control,1456,609
16, 44510, 00:00:44.510,magma_EXTREAM_BTN_Launch Control,1450,601
17, 46354, 00:00:46.354,magma_AREA,1352,274
18, 51100, 00:00:51.100,magma_TAB_spirit,1283,201
19, 52336, 00:00:52.336,magma_TAB_extream,1439,186
20, 54957, 00:00:54.957,magma_EXTREAM_BTN_Track Race,1906,444
21, 61505, 00:01:01.505,magma_TAB_spirit,1297,172
22, 62953, 00:01:02.953,magma_TAB_extream,1454,171
23, 65627, 00:01:05.627,magma_EXTREAM_BTN_Launch Control,1513,614
24, 66817, 00:01:06.817,magma_EXTREAM_BTN_Launch Control,1492,595
25, 67423, 00:01:07.423,magma_EXTREAM_BTN_Battery Conditioning,1472,505
26, 68680, 00:01:08.680,magma_EXTREAM_BTN_Battery Conditioning,1495,492
27, 69338, 00:01:09.338,magma_EXTREAM_BTN_ASD+,1331,390
28, 70196, 00:01:10.196,magma_EXTREAM_BTN_ASD+,1324,388
29, 70681, 00:01:10.681,magma_EXTREAM_BTN_VGS,1531,378
30, 71749, 00:01:11.749,magma_EXTREAM_BTN_VGS,1534,378
31, 73396, 00:01:13.396,magma_EXTREAM_BTN_VGS,1537,385
32, 74439, 00:01:14.439,magma_EXTREAM_BTN_VGS,1550,385
33, 78251, 00:01:18.251,magma_AREA,1378,274
34, 78854, 00:01:18.854,magma_AREA,1316,277
35, 81402, 00:01:21.402,magma_EXTREAM_BTN_ASD+,1336,388
36, 82490, 00:01:22.490,magma_EXTREAM_BTN_Battery Conditioning,1378,493
37, 83425, 00:01:23.425,magma_EXTREAM_BTN_Launch Control,1396,603
38, 84237, 00:01:24.237,magma_EXTREAM_BTN_Records,1336,730
39, 91670, 00:01:31.670,magma_TAB_spirit,1283,187
40, 95091, 00:01:35.091,magma_TAB_extream,1445,171
