Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 5596, 00:00:05.596,magma_AREA,2122,667
1, 5795, 00:00:05.795,magma_PAGE_SWIPE_up,2128,403
2, 6409, 00:00:06.409,magma_AREA,2190,664
3, 6591, 00:00:06.591,magma_PAGE_SWIPE_up,2168,403
4, 7093, 00:00:07.093,magma_AREA,2193,649
5, 7291, 00:00:07.291,magma_PAGE_SWIPE_up,2151,384
6, 7817, 00:00:07.817,magma_AREA,2199,665
7, 8016, 00:00:08.016,magma_PAGE_SWIPE_up,2157,400
8, 8664, 00:00:08.664,magma_AREA,2171,673
9, 8881, 00:00:08.881,magma_PAGE_SWIPE_up,2139,367
10, 9535, 00:00:09.535,magma_AREA,2131,378
11, 9734, 00:00:09.734,magma_PAGE_SWIPE_down,2154,694
12, 11876, 00:00:11.876,magma_AREA,2190,695
13, 12075, 00:00:12.075,magma_PAGE_SWIPE_up,2144,391
14, 14661, 00:00:14.661,magma_TAB_spirit,1285,181
15, 17374, 00:00:17.374,magma_TAB_extream,1456,162
16, 22315, 00:00:22.315,magma_EXTREAM_BTN_Records,1355,727
