Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 19687, 00:00:19.687,magma_TAB_extream,1448,148
1, 41256, 00:00:41.256,magma_EXTREAM_BTN_Track Race,1870,459
2, 48451, 00:00:48.451,magma_TAB_spirit,1294,156
3, 49383, 00:00:49.383,magma_TAB_extream,1463,160
4, 50700, 00:00:50.700,magma_TAB_spirit,1283,172
5, 51735, 00:00:51.735,magma_AREA,2235,531
6, 52188, 00:00:52.188,magma_AREA,2253,613
7, 52314, 00:00:52.314,magma_PAGE_SWIPE_up,2244,346
8, 53167, 00:00:53.167,magma_AREA,2403,719
9, 53297, 00:00:53.297,magma_PAGE_SWIPE_up,2396,345
10, 53916, 00:00:53.916,magma_AREA,2352,733
11, 54046, 00:00:54.046,magma_PAGE_SWIPE_up,2286,283
12, 54715, 00:00:54.715,magma_AREA,2277,703
13, 54862, 00:00:54.862,magma_PAGE_SWIPE_up,2241,235
14, 55450, 00:00:55.450,magma_AREA,2174,658
15, 55614, 00:00:55.614,magma_PAGE_SWIPE_up,2145,187
16, 56263, 00:00:56.263,magma_AREA,2226,325
17, 56445, 00:00:56.445,magma_PAGE_SWIPE_down,2237,707
18, 56802, 00:00:56.802,magma_AREA,2189,378
19, 56978, 00:00:56.978,magma_PAGE_SWIPE_down,2276,739
20, 57363, 00:00:57.363,magma_AREA,2348,366
21, 57544, 00:00:57.544,magma_PAGE_SWIPE_down,2394,683
22, 57897, 00:00:57.897,magma_AREA,2504,409
23, 58060, 00:00:58.060,magma_PAGE_SWIPE_down,2559,679
24, 59747, 00:00:59.747,magma_AREA,2171,601
25, 59892, 00:00:59.892,magma_PAGE_SWIPE_up,2198,435
26, 66154, 00:01:06.154,magma_TAB_extream,1451,171
27, 71536, 00:01:11.536,magma_AREA,2564,671
28, 72366, 00:01:12.366,magma_EXTREAM_BTN_Track Race,1946,414
29, 73701, 00:01:13.701,magma_AREA,2142,664
30, 73882, 00:01:13.882,magma_PAGE_SWIPE_up,2162,255
31, 74400, 00:01:14.400,magma_AREA,2159,603
32, 74548, 00:01:14.548,magma_PAGE_SWIPE_up,2208,268
33, 75400, 00:01:15.400,magma_AREA,2104,574
34, 75581, 00:01:15.581,magma_PAGE_SWIPE_up,2144,228
