Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1844, 00:00:01.844,gnbL_BTN_magma,1096,674
1, 3632, 00:00:03.632,magma_TAB_extream,1436,159
2, 6930, 00:00:06.930,magma_EXTREAM_BTN_Track Race,1912,427
3, 11592, 00:00:11.592,magma_TAB_spirit,1276,154
4, 12110, 00:00:12.110,magma_TAB_extream,1415,192
5, 17393, 00:00:17.393,magma_TAB_spirit,1282,178
6, 19912, 00:00:19.912,magma_TAB_extream,1430,196
7, 29996, 00:00:29.996,magma_TAB_spirit,1265,160
8, 34582, 00:00:34.582,gnbL_BTN_apps,1069,781
9, 38343, 00:00:38.343,apps_AREA,1967,617
10, 39367, 00:00:39.367,apps_AREA,2078,468
11, 40154, 00:00:40.154,apps_AREA,1844,661
12, 41359, 00:00:41.359,gnbL_BTN_apps,1097,797
13, 42300, 00:00:42.300,gnbL_BTN_magma,1094,676
14, 42975, 00:00:42.975,gnbL_BTN_navi,1108,466
15, 43926, 00:00:43.926,gnbL_BTN_navi,1109,438
16, 44696, 00:00:44.696,gnbL_BTN_magma,1111,667
17, 45937, 00:00:45.937,clu_AREA,67,773
18, 47945, 00:00:47.945,magma_TAB_extream,1462,169
19, 50120, 00:00:50.120,magma_EXTREAM_BTN_VGS,1577,394
20, 56590, 00:00:56.590,magma_AREA,1297,274
21, 57648, 00:00:57.648,magma_TAB_spirit,1283,172
22, 60586, 00:01:00.586,magma_TAB_extream,1456,184
23, 62261, 00:01:02.261,magma_AREA,2552,635
24, 62842, 00:01:02.842,magma_AREA,2379,445
25, 68487, 00:01:08.487,magma_TAB_spirit,1276,186
26, 69832, 00:01:09.832,gnbL_BTN_apps,1094,796
27, 72979, 00:01:12.979,apps_AREA,2301,510
28, 73360, 00:01:13.360,magma_PAGE_SWIPE_down,1432,609
29, 76740, 00:01:16.740,gnbL_BTN_apps,1103,791
30, 77313, 00:01:17.313,gnbL_BTN_magma,1105,668
31, 78206, 00:01:18.206,gnbL_BTN_magma,1115,661
32, 79709, 00:01:19.709,gnbL_BTN_magma,1072,652
33, 80630, 00:01:20.630,gnbL_BTN_magma,1105,658
34, 82286, 00:01:22.286,magma_TAB_extream,1445,184
35, 86053, 00:01:26.053,magma_AREA,1334,277
