Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 9045, 00:00:09.045,magma_AREA,2117,576
1, 9227, 00:00:09.227,magma_PAGE_SWIPE_up,2134,400
2, 9724, 00:00:09.724,magma_AREA,2080,528
3, 9919, 00:00:09.919,magma_PAGE_SWIPE_down,2062,799
4, 10672, 00:00:10.672,magma_AREA,2081,519
5, 10797, 00:00:10.797,magma_PAGE_SWIPE_down,2062,691
6, 11411, 00:00:11.411,magma_AREA,2077,534
7, 11588, 00:00:11.588,magma_PAGE_SWIPE_down,2056,800
8, 12250, 00:00:12.250,magma_AREA,2050,480
9, 12472, 00:00:12.472,magma_PAGE_SWIPE_down,2038,763
10, 15741, 00:00:15.741,magma_EXTREAM_TRACK_BTN_Stop,1358,719
11, 17092, 00:00:17.092,magma_TAB_extream,1430,156
12, 20118, 00:00:20.118,magma_EXTREAM_BTN_Records,1334,728
