Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 1731, 00:00:01.731,gnbL_BTN_apps,1115,775
1, 2163, 00:00:02.163,gnbL_BTN_magma,1109,662
2, 4362, 00:00:04.362,gnbL_BTN_magma,1120,656
3, 5145, 00:00:05.145,gnbL_BTN_magma,1093,688
4, 7726, 00:00:07.726,HWK_magma,1100,691
5, 11307, 00:00:11.307,HWK_magma,1100,691
6, 12342, 00:00:12.342,HWK_magma,1100,691
7, 24798, 00:00:24.798,magma_TAB_extream,1451,180
8, 29078, 00:00:29.078,magma_EXTREAM_BTN_Track Race,1952,456
9, 39755, 00:00:39.755,magma_TAB_spirit,1310,156
10, 43386, 00:00:43.386,magma_SPIRIT_BTN_Vitual Gear Shift,1486,532
11, 48716, 00:00:48.716,magma_SPIRIT_BTN_Vitual Gear Shift,1435,549
12, 49548, 00:00:49.548,magma_SPIRIT_BTN_Settings,1486,769
13, 51603, 00:00:51.603,gnbL_BTN_magma,1097,662
14, 52862, 00:00:52.862,gnbL_BTN_magma,1157,697
15, 54911, 00:00:54.911,gnbL_BTN_magma,1090,671
16, 55847, 00:00:55.847,gnbL_BTN_magma,1112,668
17, 58508, 00:00:58.508,magma_AREA,1219,166
18, 60158, 00:01:00.158,magma_BTN_back,1268,166
19, 63638, 00:01:03.638,magma_SPIRIT_BTN_Vitual Gear Shift,1435,534
20, 71250, 00:01:11.250,magma_TAB_extream,1448,172
21, 78761, 00:01:18.761,magma_EXTREAM_BTN_Track Race,1949,462
22, 87674, 00:01:27.674,magma_TAB_spirit,1301,180
23, 92634, 00:01:32.634,magma_AREA,1895,547
24, 93267, 00:01:33.267,magma_AREA,2117,679
25, 93400, 00:01:33.400,magma_PAGE_SWIPE_up,2123,516
26, 94338, 00:01:34.338,magma_AREA,2315,700
27, 94468, 00:01:34.468,magma_PAGE_SWIPE_up,2300,556
