Count,Time(ms),Time(HH:mm:ss.SSS),Layer Name,TouchX,TouchY
0, 9376, 00:00:09.376,magma_AREA,2169,426
1, 10148, 00:00:10.148,magma_AREA,2192,516
2, 10612, 00:00:10.612,magma_AREA,2214,567
3, 11014, 00:00:11.014,magma_AREA,2206,612
4, 15588, 00:00:15.588,gnbL_BTN_magma,1114,664
5, 16832, 00:00:16.832,gnbL_BTN_magma,1112,669
6, 19879, 00:00:19.879,magma_AREA,1527,495
7, 20436, 00:00:20.436,magma_AREA,1510,481
8, 21298, 00:00:21.298,magma_TAB_spirit,1281,189
9, 22616, 00:00:22.616,magma_TAB_extream,1416,181
10, 27620, 00:00:27.620,magma_EXTREAM_BTN_Track Race,1790,447
11, 28530, 00:00:28.530,magma_AREA,2040,624
12, 28774, 00:00:28.774,magma_PAGE_SWIPE_up,2044,456
13, 29288, 00:00:29.288,magma_AREA,2116,586
14, 29438, 00:00:29.438,magma_PAGE_SWIPE_up,2073,499
15, 29900, 00:00:29.900,magma_AREA,2091,601
16, 30027, 00:00:30.027,magma_PAGE_SWIPE_up,2019,484
17, 30553, 00:00:30.553,magma_AREA,2098,603
18, 30655, 00:00:30.655,magma_PAGE_SWIPE_up,2032,499
19, 31407, 00:00:31.407,magma_AREA,2076,616
20, 31512, 00:00:31.512,magma_PAGE_SWIPE_up,2028,529
21, 32113, 00:00:32.113,magma_AREA,2068,618
22, 32238, 00:00:32.238,magma_PAGE_SWIPE_up,2028,543
23, 32728, 00:00:32.728,magma_AREA,1980,450
24, 32900, 00:00:32.900,magma_PAGE_SWIPE_down,2090,649
25, 34610, 00:00:34.610,magma_AREA,1270,87
26, 36336, 00:00:36.336,magma_AREA,2258,547
27, 36781, 00:00:36.781,magma_AREA,2180,538
28, 36907, 00:00:36.907,magma_PAGE_SWIPE_down,2451,591
29, 37143, 00:00:37.143,magma_AREA,2619,625
30, 37314, 00:00:37.314,magma_PAGE_SWIPE_up,2571,420
31, 37642, 00:00:37.642,magma_AREA,2534,400
32, 37812, 00:00:37.812,magma_PAGE_SWIPE_down,2566,640
33, 38604, 00:00:38.604,magma_AREA,1664,499
34, 39371, 00:00:39.371,magma_AREA,1516,562
35, 40918, 00:00:40.918,magma_EXTREAM_TRACK_BTN_Stop,1413,727
36, 42125, 00:00:42.125,magma_EXTREAM_TRACK_BTN_Start,1576,735
37, 42420, 00:00:42.420,magma_EXTREAM_TRACK_BTN_Pause,1576,733
38, 43062, 00:00:43.062,magma_EXTREAM_TRACK_BTN_Stop,1414,732
39, 44059, 00:00:44.059,gnbL_BTN_apps,1094,789
40, 45442, 00:00:45.442,gnbL_BTN_apps,1124,783
41, 46186, 00:00:46.186,gnbL_BTN_magma,1098,664
42, 47583, 00:00:47.583,gnbL_BTN_magma,1104,669
43, 48926, 00:00:48.926,magma_TAB_spirit,1302,172
